"ID","COD_EVASAO"
16274,"1"
15501,"1"
15495,"1"
15494,"1"
15498,"1"
15502,"1"
15626,"1"
15628,"1"
15624,"1"
15620,"1"
15253,"1"
15249,"1"
15256,"1"
15254,"1"
15245,"1"
15255,"1"
15244,"1"
15259,"1"
15257,"1"
16539,"1"
16531,"1"
16529,"1"
16535,"1"
16536,"1"
15931,"1"
15936,"1"
15939,"1"
15933,"1"
16633,"1"
16621,"1"
16623,"1"
16626,"1"
16624,"1"
16629,"1"
16625,"1"
15417,"1"
15418,"1"
15419,"1"
15420,"1"
15413,"1"
15272,"1"
15268,"1"
15274,"1"
15266,"1"
15264,"1"
15269,"1"
15267,"1"
15271,"1"
15973,"1"
15977,"1"
15979,"1"
15976,"1"
15201,"1"
15205,"1"
15206,"1"
15210,"1"
15204,"1"
15207,"1"
15212,"1"
16346,"1"
16347,"1"
16348,"1"
16352,"1"
16349,"1"
15149,"1"
15146,"1"
15137,"1"
15140,"1"
15145,"1"
15139,"1"
15148,"1"
15138,"1"
16212,"1"
16213,"1"
16214,"1"
16215,"1"
16217,"1"
16219,"1"
16220,"1"
